ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300750.SZ,20200616,161,163.28,158.01,160,157.7,2.3,1.4585,131297.41,2107390.563,0.014479321
300750.SZ,20200617,159.04,160.5,156.01,157.8,160,-2.2,-1.375,125291.34,1973464.261,-0.013845407
300750.SZ,20200618,157.8,159.57,156,158.95,157.8,1.15,0.7288,96562.14,1526258.395,0.007261279
300750.SZ,20200619,159.98,168.8,159.15,165.9,158.95,6.95,4.3724,250193.27,4137793.351,0.04279551
300750.SZ,20200622,165.75,171.3,164.5,165,165.9,-0.9,-0.5425,190412.26,3191062.036,-0.005439723
300750.SZ,20200623,166,169.13,163.52,168.89,165,3.89,2.3576,159475.06,2662217.15,0.023302142
300750.SZ,20200624,170.52,173.58,169.3,171.5,168.89,2.61,1.5454,146604.07,2515400.581,0.015335651
300750.SZ,20200629,170.5,172.5,169.01,171.04,171.5,-0.46,-0.2682,116040.49,1980641.413,-0.002685819
300750.SZ,20200630,173,179.47,173,174.36,171.04,3.32,1.9411,162514.33,2849476.587,0.01922468
300750.SZ,20200701,178.5,181.9,167.88,169.4,174.36,-4.96,-2.8447,286574.78,4991087.872,-0.028859345
300750.SZ,20200702,172,172.18,164.51,167.2,169.4,-2.2,-1.2987,270479.63,4535545.521,-0.013072082
300750.SZ,20200703,170,170.74,167.03,167.6,167.2,0.4,0.2392,240264.47,4054240.06,0.002389487
300750.SZ,20200706,168.2,180,167.59,177.8,167.6,10.2,6.0859,307152.68,5324573.165,0.059079135
300750.SZ,20200707,188,195.58,187.5,195.58,177.8,17.78,10,253604.23,4915716.571,0.09531018
300750.SZ,20200708,197.99,198.82,189.98,197.57,195.58,1.99,1.0175,288890.36,5645451.323,0.010123449
300750.SZ,20200709,197,206.77,196,205.02,197.57,7.45,3.7708,279035.52,5622121.4,0.037014583
300750.SZ,20200710,202.98,207.16,200.6,203.9,205.02,-1.12,-0.5463,168293.33,3436550.911,-0.005477858
300750.SZ,20200713,211.6,224.29,211.6,224.11,203.9,20.21,9.9117,303268.79,6609862.26,0.094507325
300750.SZ,20200714,214,220.7,208.86,215.95,224.11,-8.16,-3.6411,333296.26,7129824.248,-0.037090103
300750.SZ,20200715,219,220.57,202.11,207.03,215.95,-8.92,-4.1306,274350.61,5785551.114,-0.042183189
300750.SZ,20200716,208,212.88,196.4,196.77,207.03,-10.26,-4.9558,272549.68,5596500.616,-0.050828176
300750.SZ,20200717,197.01,201.18,188.08,195.7,196.77,-1.07,-0.5438,303785.91,5903627.257,-0.00545266
300750.SZ,20200720,204.09,211.11,199.09,205.3,195.7,9.6,4.9055,289999.08,5919664.189,0.04788945
300750.SZ,20200721,209.99,209.99,203,207,205.3,1.7,0.8281,186565.92,3855792.321,0.008246469
300750.SZ,20200722,205,211.19,203.03,207.89,207,0.89,0.43,191657.79,3992449.598,0.0042903
300750.SZ,20200723,207,215.51,206,213.5,207.89,5.61,2.6985,255899.54,5395410.864,0.026627739
300750.SZ,20200724,209,209.9,195.85,198.68,213.5,-14.82,-6.9415,343983.14,6943402.672,-0.071941342
300750.SZ,20200727,198,200.98,189.99,191.3,198.68,-7.38,-3.7145,251555.81,4870628.815,-0.037852614
300750.SZ,20200728,196.05,200.5,195.51,197.52,191.3,6.22,3.2514,201489.9,3988264.848,0.031996969
300750.SZ,20200729,197.52,205,195.27,204.18,197.52,6.66,3.3718,189985.83,3844683.433,0.033162113
300750.SZ,20200730,205,206.98,202.4,205.35,204.18,1.17,0.573,143530.72,2944644.012,0.005713883
300750.SZ,20200731,206,215.3,205.5,212.17,205.35,6.82,3.3212,207049.8,4378422.256,0.032672
300750.SZ,20200803,213.88,215.8,210.05,215.6,212.17,3.43,1.6166,151061.33,3216865.097,0.016036999
300750.SZ,20200804,214.3,222.98,210.32,210.69,215.6,-4.91,-2.2774,199580.62,4309494.88,-0.02303698
300750.SZ,20200805,210.74,212.8,206.55,210.35,210.69,-0.34,-0.1614,127300.6,2664523.682,-0.001615049
300750.SZ,20200806,216.88,217.88,208,211.5,210.35,1.15,0.5467,145656.88,3082282.259,0.005452188
300750.SZ,20200807,209,214.3,202.11,204.29,211.5,-7.21,-3.409,180552.46,3733669.851,-0.034684445
300750.SZ,20200810,204.2,205.3,198.08,200.68,204.29,-3.61,-1.7671,130787.44,2629646.475,-0.017828953
300750.SZ,20200811,200.75,204.6,198.13,198.42,200.68,-2.26,-1.1262,122332.13,2468198.212,-0.011325603
300750.SZ,20200812,199.9,200.26,188.2,195.73,198.42,-2.69,-1.3557,252727.41,4855191.798,-0.013649838
300750.SZ,20200813,200.8,201.98,194.47,195.99,195.73,0.26,0.1328,130612.1,2581164.116,0.001327479
